state_abbr,county,offense,total_2023,latitude,longitude
KY,SIMPSON,Violent Crime,24.0,36.740947,-86.581747
PA,SULLIVAN,Property Crime,48.0,41.43979,-76.511525
MT,JUDITH BASIN,Property Crime,1.0,47.032558,-110.30532
TN,COFFEE,Violent Crime,233.5,35.483685,-86.089195
SC,GEORGETOWN,Property Crime,1030.5,33.417531,-79.296333
AL,AUTAUGA,Property Crime,940.0,32.4632,-86.47712
GA,MADISON,Property Crime,284.0,34.128484,-83.203644
MT,PARK,Violent Crime,69.0,45.421905,-110.532798
GA,BRYAN,Property Crime,369.0,32.017969,-81.438543
CA,SAN JOAQUIN,Violent Crime,5391.0,37.798763,-122.24971
CO,LINCOLN,Property Crime,33.0,38.99374,-103.507555
LA,ST CHARLES,Property Crime,552.0,29.905722,-90.357855
GA,LAMAR,Violent Crime,9.0,33.044018,-84.15348
OH,WAYNE,Violent Crime,127.5,40.829661,-81.887194
ND,RICHLAND,Property Crime,222.0,46.266014,-96.60567
KS,JEWELL,Property Crime,1.0,39.787975,-98.209984
MN,DODGE,Property Crime,112.0,44.020706,-92.869353
WI,ONEIDA,Property Crime,261.0,45.716198,-89.534988
NE,GREELEY,Property Crime,2.0,41.5676,-98.530566
UT,GRAND,Property Crime,150.0,38.573284,-109.54643
AL,COVINGTON,Violent Crime,69.0,31.243987,-86.448721
GA,SUMTER,Violent Crime,218.0,32.042197,-84.204259
SD,BEADLE,Violent Crime,28.0,44.418265,-98.279422
ID,BONNER,Property Crime,446.0,48.312512,-116.59694
TX,MCLENNAN,Violent Crime,974.5,31.306688,-97.24659
CO,KIT CARSON,Property Crime,94.0,39.30534,-102.603023
AL,MARENGO,Violent Crime,85.0,32.247591,-87.791091
TX,GUADALUPE,Property Crime,2135.0,29.583532,-97.948858
NE,YORK,Violent Crime,18.0,40.873056,-97.596742
IL,LAKE,Violent Crime,792.0,42.357296,-88.10073
MS,ITAWAMBA,Violent Crime,6.0,34.281075,-88.363127
FL,HARDEE,Violent Crime,55.0,27.492846,-81.82158
MT,SILVER BOW,Property Crime,813.0,46.011528,-112.540474
IA,HOWARD,Property Crime,19.0,43.373245,-92.11591
MS,LAMAR,Property Crime,1423.0,31.197135,-89.514952
OH,SUMMIT,Property Crime,10670.0,41.121851,-81.534936
LA,OUACHITA,Property Crime,6041.0,32.477664,-92.154848
TX,PALO PINTO,Violent Crime,69.5,32.75221,-98.317974
KY,CALDWELL,Violent Crime,9.0,37.10793,-87.88273
FL,HOLMES,Property Crime,0.0,30.24214,-85.57792
KS,EDWARDS,Property Crime,33.0,37.883595,-99.304746
IL,MASON,Property Crime,62.0,40.301247,-90.0627
ME,UNMAPPED COUNTY,Property Crime,567.0,44.417012,-69.765764
AR,MADISON,Violent Crime,34.0,36.012545,-93.724053
TX,RANDALL,Violent Crime,807.0,34.98086,-101.92753
TX,NACOGDOCHES,Property Crime,737.0,31.610912,-94.68126
WI,RICHLAND,Property Crime,64.0,43.334644,-90.3864
TX,HOPKINS,Violent Crime,45.0,33.148959,-95.565194
MN,WILKIN,Property Crime,33.0,46.362335,-96.476657
OK,MCINTOSH,Violent Crime,38.0,35.369092,-95.671764
GA,TURNER,Property Crime,39.0,31.718232,-83.628566
NY,TOMPKINS,Property Crime,2057.0,42.453003,-76.473481
NM,COLFAX,Property Crime,87.0,36.90456,-104.43978
WY,SHERIDAN,Property Crime,272.0,44.816166,-106.956215
